zpid,monthly_homeowners_insurance,zip_code,monthly_hoa,purchase_price,living_area,lot_size,home_features_score,home
42768138,85.75,32405.0,0.0,245000.0,1320.0,13503.0,-0.22462379932403564,type_SINGLE_FAMILY
2055311084,43.75,33776.0,921.0,125000.0,865.0,865.0,-0.6816518902778625,type_CONDO
44386101,113.71499999999999,33160.0,988.0000000000001,324900.0,762.0,762.0,-0.026569865643978105,type_CONDO
47079697,78.74999999999999,34698.0,828.0,225000.0,924.9999999999999,15142.0,-0.22963117063045502,type_CONDO
299180369,227.465,32720.0,0.0,649900.0,2208.0,653400.0,-0.018377522006630898,type_SINGLE_FAMILY
42997517,97.47499999999998,33351.0,503.0,278500.0,1210.0,1210.0,-0.11075414717197418,type_CONDO
2055705532,-1.4210854715202004e-14,33982.0,0.0,389995.0,1601.0,1601.0,-0.1017967239022255,type_SINGLE_FAMILY
250947767,155.015,34293.0,392.0,442900.0,1568.0,4899.999999999998,-0.13291935622692108,type_SINGLE_FAMILY
48000178,170.79999999999998,32176.0,0.0,488000.0,1928.0,10018.0,-0.21285611391067505,type_SINGLE_FAMILY
47948350,136.465,32763.0,0.0,389900.0,1803.0,19840.0,-0.2523350417613983,type_SINGLE_FAMILY
43250973,78.74999999999999,33027.0,678.0,225000.0,1056.0,1056.0,0.026998156681656837,type_CONDO
81794025,104.64999999999999,34266.0,0.0,299000.0,1551.0,221284.0,-0.16790811717510223,type_SINGLE_FAMILY
80797932,97.64999999999999,32428.0,0.0,279000.0,1928.0,784080.0,-0.1840955913066864,type_SINGLE_FAMILY
46798902,344.75,33462.0,17.00000000000003,985000.0,1627.0,17502.0,-0.007359792944043875,type_SINGLE_FAMILY
47188768,139.965,33777.0,679.0,399900.0,1715.0,1715.0,-0.08001451194286346,type_CONDO
121158163,218.75,32757.0,275.0,625000.0,2424.0,9679.0,0.17938438057899472,type_SINGLE_FAMILY
42748958,152.25,32404.0,0.0,435000.0,2752.0,92347.0,-0.2927544116973877,type_SINGLE_FAMILY
43407759,63.0,32926.0,0.0,180000.0,1081.0,8276.0,-0.3814815878868103,type_SINGLE_FAMILY
