zpid,street_address,zip_code,purchase_price,gross_rent_multiplier,break_even_ratio 5.0% Down,CoC_no_prepaids 5.0% Down,CoC 5.0% Down,adj_CoC_no_prepaids 5.0% Down,adj_CoC 5.0% Down,cap_rate 5.0% Down,adj_cap_rate 5.0% Down,break_even_ratio 10.0% Down,CoC_no_prepaids 10.0% Down,CoC 10.0% Down,adj_CoC_no_prepaids 10.0% Down,adj_CoC 10.0% Down,cap_rate 10.0% Down,adj_cap_rate 10.0% Down,break_even_ratio 20.0% Down,CoC_no_prepaids 20.0% Down,CoC 20.0% Down,adj_CoC_no_prepaids 20.0% Down,adj_CoC 20.0% Down,cap_rate 20.0% Down,adj_cap_rate 20.0% Down
46755347,32 Southport Ln APT D,33436,58500,1.6271695594125501,0.14352432266573936,4.6696398177187275,4.764030525787763,4.242630015376857,4.328389274518605,0.5263592060089118,0.47822689831660414,0.13464298314802178,3.280910461070477,3.326746290969706,2.983970563733006,3.0256580065347665,0.531817358459185,0.4836850507668773,0.11443954977346782,2.0864299583564416,2.104448107513462,1.9019050098001418,1.918329624492723,0.5442336633597313,0.49610135566742364
46755216,11 Southport Ln APT E,33436,59900,1.6452428037793891,0.14511847131553307,4.649380009205898,4.744185684740305,4.223229506673099,4.309345531933286,0.5196081251476472,0.4719821485199344,0.13613848527479022,3.258577544022717,3.304376652766741,2.963009261364775,3.0046541759133696,0.5250662775979205,0.47744030097020773,0.11571064898763551,2.0681667335096856,2.0860937710241307,1.884907845278407,1.9012463798395134,0.5374825824984669,0.4898566058707541
47440836,2112 DIANA Drive,32177,105000,1.9769543605964754,0.1733885776904472,4.411327131550249,4.51371224961624,3.9895565753123643,4.082152569400601,0.4181236748733806,0.3781465320162378,0.16259805940307925,2.938294047267823,2.982779451177451,2.660981392883892,2.7012683179343364,0.42358182732365385,0.383604684466511,0.13805159128744868,1.7949024184054214,1.8109310552836146,1.6303258638473241,1.6448848175802802,0.43599813222420025,0.3960209893670575
46755387,37 Southport Ln APT D,33436,64900,1.8051846906987095,0.1592261289060937,4.286141507091723,4.376080451479744,3.885029305857554,3.966551447417095,0.4657550418115272,0.4221680464340234,0.1493731556633609,2.981600659553866,3.0243388399867337,2.7058040228125506,2.744588941970787,0.47121319426180047,0.42762619888429665,0.12695943214184718,1.8833632581524546,1.8998867784838043,1.7136255854723705,1.7286599274025884,0.4836294991623468,0.44004250378484305
103455037,211 SW 7th Ave,33444,125000,2.2425547183351275,0.2332366714997999,3.6002474625592376,3.7947044839639443,3.2266132484682153,3.400889491434047,0.3419151034448092,0.3064311034448092,0.22099646596904732,2.4065504311481147,2.4905196596969956,2.160722538385261,2.2361143532868217,0.34737325589508244,0.31188925589508243,0.19315222283003947,1.480037534467415,1.510272614303117,1.3340698422505937,1.3613230079626129,0.3597895607956288,0.32430556079562883
87938344,2189 SW Panther Trce,34997,949000,2.6122525379313384,0.2285848881077163,3.6600864203374845,3.7586934169520383,3.278954316654846,3.367293169913903,0.2953064838452308,0.2645556303151991,0.21432681551707397,2.312543681550545,2.350802521037785,2.0761040092903666,2.1104511788958287,0.3007646362955039,0.27001378276547233,0.18189229152889236,1.3687504008638738,1.3815307275067878,1.234354473272007,1.2458799152748747,0.31318094119605033,0.28243008766601874
104166014,862408 N Hampton Club Way,32034,159000,2.4505270945071205,0.21296280365383355,3.5973962419587107,3.6805338378974852,3.2317357953081767,3.306422798534965,0.32117057514292247,0.2885249147655639,0.1995874531884886,2.3557172584774118,2.3904860111882855,2.1202696720632837,2.151563381715002,0.3266287275931956,0.2939830672158371,0.16916096161603814,1.4281375796877251,1.4403730812784101,1.290626364567684,1.3016837452859344,0.339045032493742,0.3063993721163835
46732339,48 Stratford Ln #H,33436,79900,2.2647392290249435,0.19976108942062765,3.4741165938054666,3.5521145895921498,3.1284580712362646,3.1986956274236964,0.35334704336971534,0.31819064787534734,0.1873997974484954,2.3748807407944166,2.410513228946731,2.142185541427198,2.174326692607459,0.35880519581998854,0.3236488003256206,0.15928010466069326,1.4858758429096566,1.4992783242172414,1.3451565184969647,1.3572897227488272,0.37122150072053495,0.33606510522616695
2068617824,2800 Harbourside Dr #M-01,34228,249000,2.713482411403165,0.23581490826732165,3.29374608549662,3.373308648716723,2.9466266450546836,3.0178043140819106,0.2816252239267369,0.25194546489059233,0.22100430759474826,2.128466781307898,2.160774205804653,1.908417881288358,1.9373852427475275,0.28708337637701015,0.2574036173408656,0.1873128826324967,1.281951054203426,1.2931131495318324,1.154912527075149,1.1649684833309781,0.29949968127755655,0.269819922241412
47552514,1711 Moon Dr,34292,125000,2.702118460873325,0.2348273253220676,3.07398440437542,3.1427855159443814,2.7505363392081326,2.812098121134867,0.28317510344480923,0.2533791034448092,0.22007875082392342,2.039884670428938,2.0693786468874587,1.8293046267274105,1.8557539002467884,0.28863325589508243,0.25883725589508244,0.1865284241363251,1.2530945466027608,1.2637023325862526,1.1290710967365685,1.138628990501886,0.30104956079562883,0.2712535607956288
42808759,1653 NW 251ST Street,32058,95000,2.649486836233824,0.22813378995825315,3.016612255172442,3.0766105553818517,2.7023731242440125,2.756121428723059,0.2913266823921776,0.260979313971125,0.21367248689109694,2.0334814566503225,2.060064613026419,1.8255503102522748,1.8494152386543303,0.29678483484245083,0.2664374664213982,0.18077565050243366,1.263597254440709,1.2733979961237558,1.1395781403837038,1.148416962201571,0.30920113974299723,0.2788537713219446
