Leveraged Beta 5.0% Down,Leveraged Alpha 5.0% Down,Leveraged Beta 10.0% Down,Leveraged Alpha 10.0% Down,Leveraged Beta 20.0% Down,Leveraged Alpha 20.0% Down,Home Price Beta,Home Price Alpha,zip_code,zpid
110.16013501899991,-9.735421532468498,10.424056768799737,-1.3512188488589563,0.8854715113080244,-0.6486210855593854,2350.08104492683,129.81601436327668,33030,2066093787
110.16005762440112,-9.735425548096496,10.424049034925147,-1.3512192311421762,0.885469915200038,-0.6486211232942445,2350.080109229523,129.8159327047167,33030,2066093787
37.00946006473845,-2.133567534209982,11.692352732665162,-0.9087149323830113,2.1886965213467446,-0.5386946543631261,2751.9110670701584,123.04727626754912,33029,2057344672
-0.8010300179833414,-1.358065302437771,-0.20193673930084285,-0.8465380445209862,0.24010705981421407,-0.5885244675828043,-309.4864441107601,121.35936934129325,33160,156030659
-0.8010300179833414,-1.358065302437771,-0.20193673930084285,-0.8465380445209862,0.24010705981421407,-0.5885244675828043,-309.4864441107601,121.35936934129325,33160,156030659
-0.8010300179833414,-1.358065302437771,-0.20193673930084285,-0.8465380445209862,0.24010705981421407,-0.5885244675828043,-309.4864441107601,121.35936934129325,33160,156030659
-0.8010300179833414,-1.358065302437771,-0.20193673930084285,-0.8465380445209862,0.24010705981421407,-0.5885244675828043,-309.4864441107601,121.35936934129325,33160,156030659
-34.99851330756563,-3.1034093572066492,-9.444654450337405,-1.055778161062982,-2.704748978057629,-0.5896816871592544,-989.1016454307974,120.05476728362036,33065,161769647
-34.998545391564754,-3.103409776492573,-9.444663247690771,-1.0557782743542883,-2.704751906069336,-0.5896817200242516,-989.102206968331,120.05475578952083,33065,161769647
-14.944575705385349,-1.0224870311008671,-7.979192944536771,-0.6798663836439712,-4.406751195252359,-0.5642817843914243,168.60617024040639,92.61837843035279,33127,43814052
-14.944575705385349,-1.0224870311008671,-7.979192944536771,-0.6798663836439712,-4.406751195252359,-0.5642817843914243,168.60617024040639,92.61837843035279,33127,43814052
-14.944575705385349,-1.0224870311008671,-7.979192944536771,-0.6798663836439712,-4.406751195252359,-0.5642817843914243,168.60617024040639,92.61837843035279,33127,43814052
-14.944575705385349,-1.0224870311008671,-7.979192944536771,-0.6798663836439712,-4.406751195252359,-0.5642817843914243,168.60617024040639,92.61837843035279,33127,43814052
12105.376049069539,833.1100393868121,5860.387302070798,403.3214540932986,2884.3680950075545,198.50778100961904,1139.4878829390245,78.42276500392889,33304,299148616
12105.376049069539,833.1100393868121,5860.387302070798,403.3214540932986,2884.3680950075545,198.50778100961904,1139.4878829390245,78.42276500392889,33304,299148616
12105.376049069539,833.1100393868121,5860.387302070798,403.3214540932986,2884.3680950075545,198.50778100961904,1139.4878829390245,78.42276500392889,33304,299148616
12105.376049069539,833.1100393868121,5860.387302070798,403.3214540932986,2884.3680950075545,198.50778100961904,1139.4878829390245,78.42276500392889,33304,299148616
12105.376049069539,833.1100393868121,5860.387302070798,403.3214540932986,2884.3680950075545,198.50778100961904,1139.4878829390245,78.42276500392889,33304,299148616
-10.294484307875905,-1.5930494495055212,-1.8747926911621748,-0.8865525838388386,-0.08247348123244012,-0.3760610561326465,-258.21914312846377,70.91568475395508,33139,43896571
-10.294474821685792,-1.5930495995684284,-1.874780151846693,-0.8865527123541427,-0.08247240098208422,-0.3760610667336134,-258.21792576269326,70.915671823534,33139,43896571
-10.294474821685792,-1.5930495995684284,-1.874780151846693,-0.8865527123541427,-0.08247240098208422,-0.3760610667336134,-258.21792576269326,70.915671823534,33139,43896571
-4.88486019322627,-0.6618671770468332,-2.373413267601978,-0.4075587736804442,-1.271811655491081,-0.2861928241074926,13.734419200188968,65.93335429221666,33021,43317052
-4.88486019322627,-0.6618671770468332,-2.373413267601978,-0.4075587736804442,-1.271811655491081,-0.2861928241074926,13.734419200188968,65.93335429221666,33021,43317052
-243.06200869058324,-91.27007728480676,2102.246688551587,-405.2135853593123,-8254.740166617694,-83.88811044545986,-173.87083423112867,64.77498108210418,33160,44388295
-243.06200869058324,-91.27007728480676,2102.246688551587,-405.2135853593123,-8254.740166617694,-83.88811044545986,-173.87083423112867,64.77498108210418,33160,44388295
-243.06200869058324,-91.27007728480676,2102.246688551587,-405.2135853593123,-8254.740166617694,-83.88811044545986,-173.87083423112867,64.77498108210418,33160,44388295
-243.06200869058324,-91.27007728480676,2102.246688551587,-405.2135853593123,-8254.740166617694,-83.88811044545986,-173.87083423112867,64.77498108210418,33160,44388295
13.409192226312022,-1.8467926363625882,2.1518864850854595,-1.158153361648977,0.22497558571479462,-0.2403770035631954,923.6364176473637,64.70914215365985,33030,2064027393
13.409192226312022,-1.8467926363625882,2.1518864850854595,-1.158153361648977,0.22497558571479462,-0.2403770035631954,923.6364176473637,64.70914215365985,33030,2064027393
-6.58163499409638,-1.6946211722672866,-3.3331125998893727,-0.7408027445193206,-1.7735335655538678,-0.4054396331869534,106.99892128613494,57.5374800109664,33304,2103563412
-6.58163499409638,-1.6946211722672866,-3.3331125998893727,-0.7408027445193206,-1.7735335655538678,-0.4054396331869534,106.99892128613494,57.5374800109664,33304,2103563412
-6.58163499409638,-1.6946211722672866,-3.3331125998893727,-0.7408027445193206,-1.7735335655538678,-0.4054396331869534,106.99892128613494,57.5374800109664,33304,2103563412
-6.58163499409638,-1.6946211722672866,-3.3331125998893727,-0.7408027445193206,-1.7735335655538678,-0.4054396331869534,106.99892128613494,57.5374800109664,33304,2103563412
